rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
188,frame_0208.jpg,83.2,0.3262,0.2626,0.1429,0.76,4,1,False,False
189,frame_0198.jpg,79.2,0.324,0.3862,0.1429,0.44,2,1,False,False
190,frame_0308.jpg,123.2,0.3233,0.3254,0.4286,0.16,7,3,False,False
191,frame_0371.jpg,148.4,0.3211,0.3531,0.4286,0.08,5,3,False,False
192,frame_0225.jpg,90.0,0.3205,0.4376,0.2857,0.08,5,2,False,False
193,frame_0204.jpg,81.6,0.3183,0.2789,0.1429,0.68,2,1,False,False
194,frame_0090.jpg,36.0,0.3172,0.3189,0.2857,0.36,5,2,False,False
195,frame_0080.jpg,32.0,0.3164,0.243,0.1429,0.76,5,1,False,False
196,frame_0383.jpg,153.2,0.3159,0.4123,0.2857,0.12,5,2,False,False
197,frame_0194.jpg,77.6,0.3158,0.3481,0.2857,0.28,5,2,False,False
198,frame_0228.jpg,91.2,0.3154,0.4433,0.2857,0.04,6,2,False,False
199,frame_0300.jpg,120.0,0.3151,0.2667,0.2857,0.48,6,2,False,False
200,frame_0206.jpg,82.4,0.3146,0.2394,0.1429,0.76,4,1,False,False
201,frame_0084.jpg,33.6,0.3141,0.3025,0.1429,0.6,3,1,False,False
202,frame_0381.jpg,152.4,0.3138,0.3544,0.4286,0.04,7,3,False,False
203,frame_0205.jpg,82.0,0.3119,0.2501,0.1429,0.72,4,1,False,False
204,frame_0003.jpg,1.2,0.3103,0.2206,0.0,1.0,6,0,False,False
205,frame_0122.jpg,48.8,0.3083,0.2908,0.1429,0.6,4,1,False,False
206,frame_0009.jpg,3.6,0.3071,0.2142,0.0,1.0,3,0,False,False
207,frame_0111.jpg,44.4,0.3054,0.3754,0.2857,0.16,5,2,False,False
208,frame_0097.jpg,38.8,0.3011,0.313,0.4286,0.08,6,3,False,False
209,frame_0282.jpg,112.8,0.3004,0.323,0.1429,0.48,4,1,False,False
210,frame_0028.jpg,11.2,0.297,0.194,0.0,1.0,3,0,False,False
211,frame_0296.jpg,118.4,0.2966,0.3373,0.0,0.64,4,0,False,False
212,frame_0269.jpg,107.6,0.2943,0.4011,0.2857,0.04,4,2,False,False
213,frame_0100.jpg,40.0,0.2942,0.4009,0.2857,0.04,6,2,False,False
214,frame_0092.jpg,36.8,0.2888,0.2942,0.2857,0.28,5,2,False,False
215,frame_0199.jpg,79.6,0.2877,0.2976,0.1429,0.48,2,1,False,False
216,frame_0311.jpg,124.4,0.2874,0.3016,0.4286,0.04,5,3,False,False
217,frame_0214.jpg,85.6,0.284,0.2742,0.1429,0.52,3,1,False,False
218,frame_0191.jpg,76.4,0.2812,0.3269,0.2857,0.16,6,2,False,False
219,frame_0267.jpg,106.8,0.2807,0.342,0.2857,0.12,5,2,False,False
220,frame_0272.jpg,108.8,0.2788,0.4398,0.1429,0.08,4,1,False,False
221,frame_0196.jpg,78.4,0.2773,0.3248,0.1429,0.36,2,1,False,False
222,frame_0201.jpg,80.4,0.2763,0.2428,0.1429,0.56,2,1,False,False
223,frame_0195.jpg,78.0,0.2727,0.246,0.2857,0.32,4,2,False,False
224,frame_0372.jpg,148.8,0.2691,0.4044,0.1429,0.12,7,1,False,False
225,frame_0271.jpg,108.4,0.2689,0.3504,0.2857,0.04,5,2,False,False
226,frame_0109.jpg,43.6,0.2687,0.3339,0.2857,0.08,7,2,False,False
227,frame_0217.jpg,86.8,0.2678,0.2899,0.1429,0.4,5,1,False,False
228,frame_0325.jpg,130.0,0.2668,0.3462,0.2857,0.04,7,2,False,False
229,frame_0222.jpg,88.8,0.2665,0.2816,0.2857,0.2,5,2,False,False
230,frame_0212.jpg,84.8,0.2662,0.2067,0.1429,0.6,4,1,False,False
231,frame_0088.jpg,35.2,0.2654,0.269,0.1429,0.44,4,1,False,False
232,frame_0085.jpg,34.0,0.2642,0.2186,0.1429,0.56,5,1,False,False
233,frame_0268.jpg,107.2,0.2637,0.324,0.2857,0.08,6,2,False,False
234,frame_0394.jpg,157.6,0.2602,0.317,0.2857,0.08,5,2,False,False
235,frame_0190.jpg,76.0,0.2583,0.2971,0.2857,0.12,4,2,False,False
236,frame_0118.jpg,47.2,0.2554,0.2491,0.1429,0.44,6,1,False,False
237,frame_0091.jpg,36.4,0.2549,0.2961,0.1429,0.32,3,1,False,False
238,frame_0393.jpg,157.2,0.2547,0.322,0.2857,0.04,4,2,False,False
239,frame_0171.jpg,68.4,0.2525,0.2433,0.1429,0.44,4,1,False,False
240,frame_0104.jpg,41.6,0.2488,0.2781,0.2857,0.12,4,2,False,False
241,frame_0094.jpg,37.6,0.2472,0.3286,0.1429,0.2,5,1,False,False
242,frame_0082.jpg,32.8,0.2465,0.2211,0.0,0.68,5,0,False,False
243,frame_0172.jpg,68.8,0.2442,0.2427,0.1429,0.4,5,1,False,False
244,frame_0179.jpg,71.6,0.2432,0.267,0.2857,0.12,6,2,False,False
245,frame_0098.jpg,39.2,0.2429,0.2984,0.2857,0.04,5,2,False,False
246,frame_0324.jpg,129.6,0.2423,0.2812,0.2857,0.08,4,2,False,False
247,frame_0310.jpg,124.0,0.2324,0.2613,0.2857,0.08,6,2,False,False
248,frame_0103.jpg,41.2,0.2192,0.2886,0.1429,0.16,6,1,False,False
249,frame_0181.jpg,72.4,0.2176,0.2478,0.2857,0.04,5,2,False,False
250,frame_0221.jpg,88.4,0.2141,0.2464,0.1429,0.24,6,1,False,False
251,frame_0180.jpg,72.0,0.2056,0.2934,0.1429,0.08,7,1,False,False
252,frame_0101.jpg,40.4,0.2031,0.2884,0.1429,0.08,6,1,False,False
253,frame_0102.jpg,40.8,0.1978,0.2618,0.1429,0.12,6,1,False,False
254,frame_0197.jpg,78.8,0.1421,0.1242,0.0,0.4,1,0,False,False
255,frame_0093.jpg,37.2,0.1404,0.1848,0.0,0.24,5,0,False,False
256,frame_0110.jpg,44.0,0.093,0.1381,0.0,0.12,5,0,False,False
